date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,weekday
2017-09-26,43.21,43.25,42.68,42.37,182455.31,-0.41,-0.95,43.252,42.441,41.723,338341.19,311877.6,282328.75,1
2017-09-25,44.1,44.37,43.09,42.65,326616.97,-1.01,-2.29,43.116,42.195,41.674,355977.16,324782.1,285088.39,0
2017-09-22,43.2,44.41,44.1,43.01,367550.09,1.0,2.32,42.904,41.917,41.633,348296.82,316167.19,286705.34,4
2017-09-21,43.38,43.9,43.1,42.95,326221.16,-0.19,-0.44,42.49,41.606,41.523,361511.63,296540.6,285707.45,3
2017-09-20,42.29,43.3,43.29,42.29,488862.44,1.29,3.07,42.05,41.393,41.444,327681.88,283123.85,286121.83,2
2017-09-19,41.86,42.28,42.0,41.74,270635.12,-0.03,-0.07,41.63,41.161,41.32,285414.01,251389.35,270719.05,1
2017-09-18,42.22,42.44,42.03,41.81,288215.28,0.0,0.0,41.274,41.102,41.243,293587.05,249484.08,272028.45,0
2017-09-15,40.81,42.15,42.03,40.7,433624.16,1.13,2.76,40.93,41.035,41.127,284037.57,247966.92,268701.88,4
2017-09-14,41.12,41.31,40.9,40.54,157072.38,-0.29,-0.7,40.722,40.916,40.982,231569.58,235085.72,255562.86,3
2017-09-13,40.29,41.19,41.19,40.07,277523.12,0.97,2.41,40.736,40.926,40.903,238565.83,265608.14,260728.58,2
2017-09-12,40.27,40.39,40.22,39.69,311500.31,-0.09,-0.22,40.692,41.005,40.796,217364.7,252779.89,262765.5,1
2017-09-11,41.26,41.3,40.31,40.15,240467.88,-0.68,-1.66,40.93,41.153,40.773,205381.12,245394.67,259580.67,0
2017-09-08,40.98,41.23,40.99,40.73,171284.19,0.02,0.05,41.14,41.349,40.764,211896.26,257243.49,258099.76,4
2017-09-07,40.97,41.29,40.97,40.71,192053.66,0.0,0.0,41.11,41.44,40.696,238601.85,274874.3,261316.17,3
2017-09-06,41.5,41.58,40.97,40.73,171517.44,-0.44,-1.06,41.116,41.495,40.69,292650.45,289119.8,263166.58,2
2017-09-05,41.35,41.8,41.41,40.9,251582.42,0.05,0.12,41.318,41.479,40.682,288195.09,290048.74,269268.63,1
2017-09-04,40.83,41.52,41.36,40.62,273043.59,0.52,1.27,41.376,41.383,40.61,285408.22,294572.81,267311.53,0
2017-09-01,41.16,41.43,40.84,40.5,304812.16,-0.16,-0.39,41.558,41.218,40.557,302590.72,289436.84,274693.68,4
2017-08-31,41.97,42.18,41.0,40.38,462296.62,-0.98,-2.33,41.77,41.047,40.487,311146.74,276040.01,274805.31,3
2017-08-30,41.73,42.09,41.98,41.7,149240.66,0.28,0.67,41.874,40.879,40.441,285589.15,255849.02,269576.99,2
2017-08-29,42.38,42.47,41.7,41.5,237648.08,-0.57,-1.35,41.64,40.586,40.382,291902.38,272751.11,274965.75,1
2017-08-28,42.0,42.59,42.27,41.95,358956.09,0.37,0.88,41.39,40.393,40.357,303737.41,273766.68,280235.04,0
2017-08-25,41.83,42.0,41.9,41.47,347592.25,0.38,0.92,40.878,40.178,40.303,276282.95,258956.02,278794.08,4
2017-08-24,40.98,41.55,41.52,40.95,334508.69,0.71,1.74,40.324,39.952,40.278,240933.29,247758.04,273461.09,3
2017-08-23,40.6,40.92,40.81,40.22,180806.81,0.36,0.89,39.884,39.885,40.262,226108.88,237213.35,277635.99,2
2017-08-22,39.88,40.73,40.45,39.88,296823.19,0.74,1.86,39.532,39.884,40.339,253599.84,248488.53,288054.48,1
2017-08-21,39.12,39.87,39.71,38.95,221683.8,0.58,1.48,39.396,39.837,40.487,243795.95,240050.25,289581.67,0
2017-08-18,38.98,39.44,39.13,38.9,170843.95,-0.19,-0.48,39.478,39.895,40.673,241629.09,259950.52,308758.56,4
2017-08-17,39.06,39.45,39.32,38.85,260386.64,0.27,0.69,39.58,39.927,40.811,254582.79,273570.61,314968.35,3
2017-08-16,39.69,39.69,39.05,38.81,318261.62,-0.72,-1.81,39.886,40.003,40.958,248317.82,283304.96,325267.35,2
2017-08-15,40.12,40.12,39.77,39.64,247803.73,-0.35,-0.87,40.236,40.178,41.066,243377.22,277180.38,325113.86,1
2017-08-14,39.66,40.45,40.12,39.6,210849.52,0.48,1.21,40.278,40.32,41.128,236304.55,286703.4,331514.43,0
